=== Resultado Greedy | datasetXXXL.paed | Problema 1 (Maximizar valor) ===
Valor total: 263411.50
Tiempo total (min): 4982
Número de misiones seleccionadas: 36

Misiones seleccionadas (orden de la solución):
Destrueix els traïdors de Dignissimos bury | Asig: Electrònica | Data: 2025-11-23 | Temps: 34 | Dif: 10 | Prog: 0 | Pes: #FF8000 | Val: 1700,00 | Ratio: 50,00 | XY: (777,960)
Assalta els conjuradors de Dolorem en terres glaçades i inhòspites | Asig: XAL | Data: 2025-09-27 | Temps: 225 | Dif: 10 | Prog: 0 | Pes: #FF8000 | Val: 11250,00 | Ratio: 50,00 | XY: (418,846)
Captura el monestir de koalaside | Asig: Estadística | Data: 2025-09-02 | Temps: 137 | Dif: 10 | Prog: 0 | Pes: #FF8000 | Val: 6850,00 | Ratio: 50,00 | XY: (417,30)
Domina el castell de Non | Asig: Gràfics 3D | Data: 2025-09-04 | Temps: 121 | Dif: 10 | Prog: 0 | Pes: #FF8000 | Val: 6050,00 | Ratio: 50,00 | XY: (793,978)
Escapa les runes de Sylheim on ressonen crits d’esperits ancestrals | Asig: PIC1 | Data: 2026-03-05 | Temps: 93 | Dif: 10 | Prog: 0 | Pes: #FF8000 | Val: 4650,00 | Ratio: 50,00 | XY: (337,706)
Recupera la cripta de Valmere borough | Asig: Gràfics 3D | Data: 2026-05-05 | Temps: 51 | Dif: 10 | Prog: 0 | Pes: #FF8000 | Val: 2550,00 | Ratio: 50,00 | XY: (690,820)
Mata els saquejadors de Fenvyr shire | Asig: ASO | Data: 2026-02-17 | Temps: 42 | Dif: 10 | Prog: 0 | Pes: #FF8000 | Val: 2100,00 | Ratio: 50,00 | XY: (819,440)
Escapa el tron de Tempora | Asig: XAL | Data: 2026-03-06 | Temps: 274 | Dif: 10 | Prog: 0 | Pes: #FF8000 | Val: 13700,00 | Ratio: 50,00 | XY: (181,852)
Evoca la fortalesa de Ratione maleït des de temps immemorials | Asig: WEB1 | Data: 2026-05-19 | Temps: 44 | Dif: 10 | Prog: 0 | Pes: #FF8000 | Val: 2200,00 | Ratio: 50,00 | XY: (192,91)
Conquista el portal de salmonmouth | Asig: Value Chain | Data: 2026-04-23 | Temps: 291 | Dif: 10 | Prog: 0 | Pes: #FF8000 | Val: 14550,00 | Ratio: 50,00 | XY: (474,357)
Bloqueja els bandits de sardineside que amenaça els habitants | Asig: IO | Data: 2026-05-07 | Temps: 83 | Dif: 10 | Prog: 0 | Pes: #FF8000 | Val: 4150,00 | Ratio: 50,00 | XY: (211,173)
Cerca els boscos de Voluptatem ton sota les profunditats del desert | Asig: PAED | Data: 2025-09-12 | Temps: 208 | Dif: 10 | Prog: 0 | Pes: #FF8000 | Val: 10400,00 | Ratio: 50,00 | XY: (231,33)
Protegeix el perímetre el portal de codshire travessada per rius de foc | Asig: XAL | Data: 2026-03-06 | Temps: 204 | Dif: 10 | Prog: 0 | Pes: #FF8000 | Val: 10200,00 | Ratio: 50,00 | XY: (985,469)
Allibera els mercaders de duckport | Asig: WEB1 | Data: 2025-09-10 | Temps: 184 | Dif: 10 | Prog: 0 | Pes: #FF8000 | Val: 9200,00 | Ratio: 50,00 | XY: (355,507)
